system:index,pm25,pm_predicted,station,system:time_start,.geo
0_0000000000000000dc9d,15.7325,18.56732133333333,Bozeman,1501956000000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
0_0000000000000000dc97,17.272,,Broadus,1501956000000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
0_0000000000000000dca9,8.5535,,Flathead Valley,1501956000000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
0_0000000000000000dc93,41.9855,44.47720174999998,Frenchtown,1501956000000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
0_0000000000000000dc9f,6.817500000000001,,Great Falls,1501956000000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
0_0000000000000000dca3,66.798,,Hamilton,1501956000000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
0_0000000000000000dca1,10.308,,Helena,1501956000000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
0_0000000000000000dca5,7.763,,Lewistown,1501956000000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
0_0000000000000000dc95,11.6805,,Libby,1501956000000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
0_0000000000000000dc91,7.128,,Malta,1501956000000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
0_0000000000000000dc9b,27.9175,38.18967308333334,Missoula,1501956000000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
0_0000000000000000dc8f,6.9125,,NCore,1501956000000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
0_0000000000000000dc99,18.049,,Seeley Lake,1501956000000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
0_0000000000000000dcad,5.948,,Sidney,1501956000000,"{""type"":""Point"",""coordinates"":[-104.676998,47.867989]}"
0_0000000000000000dcab,30.8705,28.206140499999997,Thompson Falls,1501956000000,"{""type"":""Point"",""coordinates"":[-115.32371700000002,47.594403]}"
0_0000000000000000dca7,31.512,26.737091833333338,West Yellowstone,1501956000000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
