system:index,pm25,pm_predicted,station,system:time_start,.geo
1_0000000000000000dd57,5.9515,,Flathead Valley,1655316000000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
1_0000000000000000dd67,2.5570000000000004,10.700011166666666,Libby,1655316000000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
1_0000000000000000dd72,3.207,,Thompson Falls,1655316000000,"{""type"":""Point"",""coordinates"":[-115.32371700000002,47.594403]}"
1_0000000000000000dd59,2.876,,Great Falls,1655316000000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
1_0000000000000000dd6d,5.2855,,Helena,1655316000000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
1_0000000000000000dd6b,7.420999999999999,,Broadus,1655316000000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
1_0000000000000000dd5f,6.2829999999999995,,NCore,1655316000000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
1_0000000000000000dd51,4.311,,Hamilton,1655316000000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
1_0000000000000000dd61,0.748,,Malta,1655316000000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
1_0000000000000000dd5b,1.143,,Sidney,1655316000000,"{""type"":""Point"",""coordinates"":[-104.676998,47.867989]}"
1_0000000000000000dd6f,3.8305,,Bozeman,1655316000000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
1_0000000000000000dd69,6.83,,Billings Lockwood,1655316000000,"{""type"":""Point"",""coordinates"":[-108.42600500000002,45.806325]}"
1_0000000000000000dd53,1.3615,,Missoula,1655316000000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
1_0000000000000000dd65,5.468,,Seeley Lake,1655316000000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
1_0000000000000000dd63,5.477,,West Yellowstone,1655316000000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
1_0000000000000000dd70,5.317500000000001,,Lewistown,1655316000000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
1_0000000000000000dd5d,7.254,,Frenchtown,1655316000000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
1_0000000000000000dd74,7.4875,,Miles City,1655316000000,"{""type"":""Point"",""coordinates"":[-105.81269400000001,46.41144400000001]}"
1_0000000000000000dd55,2.3095,,Butte,1655316000000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
