system:index,pm25,pm_predicted,station,system:time_start,.geo
0_00000000000000003725,4.622,5.303780916666666,Bozeman,1371319200000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
0_0000000000000000371f,9.426,8.346391083333337,Broadus,1371319200000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
0_00000000000000003717,2.1085000000000003,,Butte,1371319200000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
0_00000000000000003729,1.783,3.3034955833333335,Flathead Valley,1371319200000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
0_00000000000000003713,4.6725,7.3869190833333365,Frenchtown,1371319200000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
0_0000000000000000371d,0.0,4.999133583333334,Great Falls,1371319200000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
0_00000000000000003715,6.886,6.0506850000000005,Hamilton,1371319200000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
0_00000000000000003711,2.461,4.4841231666666665,Helena,1371319200000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
0_0000000000000000372b,1.6255000000000002,2.840705583333334,Lewistown,1371319200000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
0_00000000000000003727,1.267,,Libby,1371319200000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
0_00000000000000003721,2.5445,2.7013977499999986,Malta,1371319200000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
0_0000000000000000371b,4.891,,Missoula,1371319200000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
0_00000000000000003719,4.359500000000001,4.035125,NCore,1371319200000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
0_00000000000000003723,7.4515,6.658095583333332,Seeley Lake,1371319200000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
