system:index,pm25,pm_predicted,station,system:time_start,.geo
0_0000000000000000e0a9,11.653,15.325189499999999,Bozeman,1504634400000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
0_0000000000000000e0af,16.011499999999998,7.699438583333333,Broadus,1504634400000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
0_0000000000000000e0ab,29.072000000000003,31.72369633333333,Butte,1504634400000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
0_0000000000000000e0a7,58.188,51.64263283333333,Flathead Valley,1504634400000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
0_0000000000000000e0b1,36.518,40.59947783333333,Frenchtown,1504634400000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
0_0000000000000000e0b7,101.887,97.1137713333333,Hamilton,1504634400000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
0_0000000000000000e0ad,7.5655,9.707342750000002,Helena,1504634400000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
0_0000000000000000e0a2,8.7515,,Lewistown,1504634400000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
0_0000000000000000e0a0,101.7045,75.87034933333334,Libby,1504634400000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
0_0000000000000000e0b5,6.274,,Malta,1504634400000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
0_0000000000000000e0a4,43.794,46.509825249999984,Missoula,1504634400000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
0_0000000000000000e0a5,11.816,14.402566583333334,NCore,1504634400000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
0_0000000000000000e0b9,176.8715,117.01259458333334,Seeley Lake,1504634400000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
0_0000000000000000e0bd,2.3205,2.8798085,Sidney,1504634400000,"{""type"":""Point"",""coordinates"":[-104.676998,47.867989]}"
0_0000000000000000e0bb,309.8415,227.37501783333337,Thompson Falls,1504634400000,"{""type"":""Point"",""coordinates"":[-115.32371700000002,47.594403]}"
0_0000000000000000e0b3,50.223,,West Yellowstone,1504634400000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
