system:index,pm25,pm_predicted,station,system:time_start,.geo
1_0000000000000000ab20,1.725,,Flathead Valley,1623780000000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
1_0000000000000000ab10,8.025,,Libby,1623780000000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
1_0000000000000000ab12,2.411,,Thompson Falls,1623780000000,"{""type"":""Point"",""coordinates"":[-115.32371700000002,47.594403]}"
1_0000000000000000ab0e,6.3405000000000005,8.593774916666668,Great Falls,1623780000000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
1_0000000000000000ab2e,3.6959999999999997,5.0626559166666665,Helena,1623780000000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
1_0000000000000000ab24,9.662,9.67599058333333,Broadus,1623780000000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
1_0000000000000000ab1e,5.273,5.666907999999999,NCore,1623780000000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
1_0000000000000000ab22,3.08,,Hamilton,1623780000000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
1_0000000000000000ab14,8.0535,8.090977250000002,Malta,1623780000000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
1_0000000000000000ab28,6.298,6.821526416666666,Sidney,1623780000000,"{""type"":""Point"",""coordinates"":[-104.676998,47.867989]}"
1_0000000000000000ab1c,9.771,5.646721166666667,Bozeman,1623780000000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
1_0000000000000000ab26,19.852,16.511485166666663,Billings Lockwood,1623780000000,"{""type"":""Point"",""coordinates"":[-108.42600500000002,45.806325]}"
1_0000000000000000ab16,1.156,,Missoula,1623780000000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
1_0000000000000000ab2a,6.7805,,Seeley Lake,1623780000000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
1_0000000000000000ab2c,3.4290000000000003,8.072747833333334,West Yellowstone,1623780000000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
1_0000000000000000ab30,1.342,2.6418867500000003,Lewistown,1623780000000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
1_0000000000000000ab18,6.4855,,Frenchtown,1623780000000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
1_0000000000000000ab1a,5.475,7.106955833333333,Butte,1623780000000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
