system:index,pm25,pm_predicted,station,system:time_start,.geo
0_0000000000000000d612,8.155,,Bozeman,1497549600000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
0_0000000000000000d626,20.6415,7.095794749999999,Broadus,1497549600000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
0_0000000000000000d628,4.363,,Butte,1497549600000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
0_0000000000000000d618,2.245,,Flathead Valley,1497549600000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
0_0000000000000000d624,6.949,,Frenchtown,1497549600000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
0_0000000000000000d62a,4.4625,,Great Falls,1497549600000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
0_0000000000000000d622,3.7695,,Hamilton,1497549600000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
0_0000000000000000d61e,8.286999999999999,,Helena,1497549600000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
0_0000000000000000d61a,3.625,,Lewistown,1497549600000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
0_0000000000000000d61c,5.2105,,Libby,1497549600000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
0_0000000000000000d62c,2.574,2.439256,Malta,1497549600000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
0_0000000000000000d614,6.0695,,Missoula,1497549600000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
0_0000000000000000d62e,2.319,,NCore,1497549600000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
0_0000000000000000d610,5.657,,Seeley Lake,1497549600000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
0_0000000000000000d616,2.6100000000000003,,Sidney,1497549600000,"{""type"":""Point"",""coordinates"":[-104.676998,47.867989]}"
0_0000000000000000d620,5.7725,,West Yellowstone,1497549600000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
