system:index,pm25,pm_predicted,station,system:time_start,.geo
1_00000000000000004b63,4.1899999999999995,,Flathead Valley,1560621600000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
1_00000000000000004b6f,5.779999999999999,,Libby,1560621600000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
1_00000000000000004b67,5.4945,,Thompson Falls,1560621600000,"{""type"":""Point"",""coordinates"":[-115.32371700000002,47.594403]}"
1_00000000000000004b79,3.6784999999999997,,Great Falls,1560621600000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
1_00000000000000004b71,3.1895000000000002,,Helena,1560621600000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
1_00000000000000004b6b,8.3,,Broadus,1560621600000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
1_00000000000000004b75,1.1205,,Hamilton,1560621600000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
1_00000000000000004b73,6.6585,,Malta,1560621600000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
1_00000000000000004b7f,14.0415,,Sidney,1560621600000,"{""type"":""Point"",""coordinates"":[-104.676998,47.867989]}"
1_00000000000000004b61,5.0705,7.021213166666666,Bozeman,1560621600000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
1_00000000000000004b69,6.6625,,Billings Lockwood,1560621600000,"{""type"":""Point"",""coordinates"":[-108.42600500000002,45.806325]}"
1_00000000000000004b6d,4.3105,6.132192916666668,Missoula,1560621600000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
1_00000000000000004b7d,3.8235,,Seeley Lake,1560621600000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
1_00000000000000004b77,4.7175,,West Yellowstone,1560621600000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
1_00000000000000004b7b,3.432,,Lewistown,1560621600000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
1_00000000000000004b65,8.1185,11.033804916666668,Frenchtown,1560621600000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
1_00000000000000004b5f,4.463,,Butte,1560621600000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
