system:index,pm25,pm_predicted,station,system:time_start,.geo
0_000000000000000085a1,5.981,7.990504249999999,Bozeman,1434391200000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
0_0000000000000000859d,3.731,,Broadus,1434391200000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
0_00000000000000008591,7.989,,Butte,1434391200000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
0_0000000000000000858b,6.7365,,Frenchtown,1434391200000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
0_0000000000000000859b,8.0735,,Great Falls,1434391200000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
0_0000000000000000859f,5.7545,,Hamilton,1434391200000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
0_0000000000000000858f,4.1555,,Helena,1434391200000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
0_00000000000000008599,3.236,,Lewistown,1434391200000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
0_00000000000000008593,4.4025,,Libby,1434391200000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
0_000000000000000085a5,3.477,,Malta,1434391200000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
0_00000000000000008597,1.942,,Missoula,1434391200000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
0_000000000000000085a3,0.795,,NCore,1434391200000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
0_00000000000000008595,2.404,,Seeley Lake,1434391200000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
0_0000000000000000858d,1.466,5.75209375,West Yellowstone,1434391200000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
