system:index,pm25,pm_predicted,station,system:time_start,.geo
0_0000000000000000ad6c,4.759,,Bozeman,1466013600000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
0_0000000000000000ad5a,6.0745000000000005,,Broadus,1466013600000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
0_0000000000000000ad5e,5.3265,,Butte,1466013600000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
0_0000000000000000ad60,6.0165,,Frenchtown,1466013600000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
0_0000000000000000ad68,3.582,,Great Falls,1466013600000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
0_0000000000000000ad62,1.841,,Hamilton,1466013600000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
0_0000000000000000ad64,1.949,,Helena,1466013600000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
0_0000000000000000ad66,1.543,,Lewistown,1466013600000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
0_0000000000000000ad58,2.321,,Malta,1466013600000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
0_0000000000000000ad6a,2.318,3.7466741666666676,Missoula,1466013600000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
0_0000000000000000ad5c,4.2175,,NCore,1466013600000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
0_0000000000000000ad56,1.6155,,Seeley Lake,1466013600000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
0_0000000000000000ad6e,6.497999999999999,,West Yellowstone,1466013600000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
