system:index,pm25,pm_predicted,station,system:time_start,.geo
1_00000000000000007ac7,0.863,,Flathead Valley,1592244000000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
1_00000000000000007ada,0.923,,Thompson Falls,1592244000000,"{""type"":""Point"",""coordinates"":[-115.32371700000002,47.594403]}"
1_00000000000000007ad8,4.82,,Great Falls,1592244000000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
1_00000000000000007aca,3.926,,Helena,1592244000000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
1_00000000000000007ad4,11.850999999999999,,Broadus,1592244000000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
1_00000000000000007ace,3.565,,NCore,1592244000000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
1_00000000000000007adc,1.0465,,Hamilton,1592244000000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
1_00000000000000007ac9,0.662,,Malta,1592244000000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
1_00000000000000007ae2,0.894,1.6361750000000004,Sidney,1592244000000,"{""type"":""Point"",""coordinates"":[-104.676998,47.867989]}"
1_00000000000000007ae3,0.911,,Bozeman,1592244000000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
1_00000000000000007ae5,17.89,,Billings Lockwood,1592244000000,"{""type"":""Point"",""coordinates"":[-108.42600500000002,45.806325]}"
1_00000000000000007ad6,3.064,,Missoula,1592244000000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
1_00000000000000007ad0,8.591999999999999,,West Yellowstone,1592244000000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
1_00000000000000007ae0,1.213,,Lewistown,1592244000000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
1_00000000000000007ad2,7.221,,Frenchtown,1592244000000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
1_00000000000000007acc,7.553,,Butte,1592244000000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
